,Symbol,Description,Category2,Category3,GICSSector,MarketCap,DividendYield,Country,Action,InstrumentId
819,TOL,Toll Brothers Inc,Common stocks,Mid cap,Consumer Discretionary,"$5,272,111,600",1.64%,USA,Analyze,873c06c8-bd8a-43e3-965c-90e91750d66e
820,TKR,Timken,Common stocks,Mid cap,Industrials,"$5,267,363,497",1.67%,USA,Analyze,0b7b5146-59eb-4642-9044-14c48ef22b12
821,IDA,"IDACORP, Inc.",Common stocks,Mid cap,Utilities,"$5,256,414,292",2.89%,USA,Analyze,081b870c-3080-49e3-8c7d-2ea865bd403f
822,OSH,"Oak Street Health, Inc.",Common stocks,Mid cap,Health Care,"$5,249,412,923",0.00%,USA,Analyze,90dd7b8d-b1ed-41a3-8ea1-d278fb5f8bb8
823,NATI,National Instruments Corp,Common stocks,Mid cap,Information Technology,"$5,243,632,526",2.76%,USA,Analyze,c6a1300a-3c3b-47df-92b1-4d8fa25aaaba
824,RYN,Rayonier Inc,REITs,Mid cap,Real Estate,"$5,231,733,593",3.07%,USA,Analyze,a2bdad8b-5f09-428f-b339-241f1c71b107
825,WU,Western Union,Common stocks,Mid cap,Information Technology,"$5,193,997,368",6.83%,USA,Analyze,287b916c-c94b-4bd8-8253-aba62e7f2819
826,PRI,Primerica Inc,Common stocks,Mid cap,Financials,"$5,177,889,416",1.52%,USA,Analyze,f4609bee-efbd-4940-bdb0-0c4415177244
827,IAA,"IAA, Inc.",Common stocks,Mid cap,Industrials,"$5,176,018,498",0.00%,USA,Analyze,03d3815c-3cd4-4475-8c7e-beb1182e9db1
828,X,United States Steel Corporation,Common stocks,Mid cap,Materials,"$5,167,972,905",0.90%,USA,Analyze,b060f19f-0d24-4bf2-bf8c-d57ba33993e5
829,MKSI,MKS Instruments Inc,Common stocks,Mid cap,Information Technology,"$5,121,686,358",1.14%,USA,Analyze,2f08729a-19cb-43d9-a6a7-cf394079394a
830,SGFY,"Signify Health, Inc.",Common stocks,Mid cap,Health Care,"$5,114,906,866",0.00%,USA,Analyze,21d4b664-f75e-4e1d-b1ae-0d020673fb90
831,KRC,Kilroy Realty Corporation,REITs,Mid cap,Real Estate,"$5,102,869,598",4.74%,USA,Analyze,65e77a66-82b9-40dc-9402-997de43a8422
832,FNB,FNB Corp,Common stocks,Mid cap,Financials,"$5,082,866,115",3.26%,USA,Analyze,072f7524-1113-4343-afe5-d971e15c6f11
833,OLED,Universal Display Corp,Common stocks,Mid cap,Information Technology,"$5,075,568,050",1.02%,USA,Analyze,c0dab8e2-e9d7-4141-a444-c6a5e90ecfa4
834,SKX,Skechers USA Inc,Common stocks,Mid cap,Consumer Discretionary,"$5,066,511,985",0.00%,USA,Analyze,cd6c8436-8eb9-4fcd-93b1-4dbdc8865ad0
835,BLD,Topbuild Corp,Common stocks,Mid cap,Consumer Discretionary,"$5,056,744,029",0.00%,USA,Analyze,5ba5f337-c6db-4e11-8f24-291b046d531a
836,HXL,Hexcel Corp,Common stocks,Mid cap,Industrials,"$5,051,120,493",0.66%,USA,Analyze,a3aedd09-d93e-498c-bd89-99c1cdd7dd3d
837,GH,Guardant Health Inc,Common stocks,Mid cap,Health Care,"$5,046,005,685",0.00%,USA,Analyze,c7eb3085-d783-4d86-b37a-fe56c334787e
838,GXO,"GXO Logistics, Inc.",Common stocks,Mid cap,Industrials,"$5,022,164,011",0.00%,USA,Analyze,e73c7de1-a996-4e19-8ea8-22f73eed7a0a
839,TDOC,Teladoc Inc,Common stocks,Mid cap,Health Care,"$5,016,501,155",0.00%,USA,Analyze,a1d81375-4b0c-4902-8285-03c011726297
840,THG,Hanover Insurance Group Inc,Common stocks,Mid cap,Financials,"$5,016,063,402",2.11%,USA,Analyze,769e898f-70b3-42f0-a4f0-9a1f07e87561
841,OMF,Onemain Holdings Inc,Common stocks,Mid cap,Financials,"$5,010,687,736",8.93%,USA,Analyze,1d2829dc-988a-45cf-b7ce-38391e7763c2
842,SOFI,"SoFi Technologies, Inc.",Common stocks,Mid cap,Financials,"$4,925,493,468",0.00%,USA,Analyze,9a69c0d6-47b3-4d3e-b9f0-78d8e51630ac
843,CC,Chemours Company,Common stocks,Mid cap,Materials,"$4,897,279,495",3.05%,USA,Analyze,9b6ba182-5c96-4133-8299-25f5c67717fd
844,APP,Applovin Corp,Common stocks,Mid cap,Information Technology,"$4,885,792,395",0.00%,USA,Analyze,1761828d-8983-47a7-80a3-b65a08089807
845,COHR,Coherent Inc,Common stocks,Mid cap,Information Technology,"$4,855,423,301",0.00%,USA,Analyze,b67f10ea-e1f1-4be2-915a-aaa74aa6fb79
846,EXP,Eagle Materials Inc,Common stocks,Mid cap,Materials,"$4,819,281,790",0.76%,USA,Analyze,884d1ca0-0820-4437-9faf-c220bb734f7f
847,VNO,Vornado Realty Trust,REITs,Mid cap,Real Estate,"$4,812,680,602",8.20%,USA,Analyze,cc13c0bb-6c22-40ad-9d2a-126724570c14
848,COLM,Columbia Sportswear,Common stocks,Mid cap,Consumer Discretionary,"$4,795,793,063",1.49%,USA,Analyze,a2525d00-779f-4eb2-bf43-7bb724489341
849,WIX,Wix.Com Ltd,Common stocks,Mid cap,Information Technology,"$4,791,603,077",0.00%,Israel,Analyze,4fcaa359-857a-421c-b499-aac8b3fa94ea
850,GWRE,Guidewire Software Inc,Common stocks,Mid cap,Information Technology,"$4,778,289,838",0.00%,USA,Analyze,6fe75f9e-7050-4979-bccf-c238543c5c5b
851,UNVR,"Univar Solutions, Inc.",Common stocks,Mid cap,Industrials,"$4,775,883,543",0.00%,USA,Analyze,7f7f8def-7005-49ba-b0eb-f8bccd63683c
852,PYCR,Paycor HCM Inc,Common stocks,Mid cap,Information Technology,"$4,772,731,677",0.00%,USA,Analyze,e17433f0-bf7c-474a-a5bc-f4d27e073a1e
853,LEG,Leggett & Platt Inc,Common stocks,Mid cap,Consumer Discretionary,"$4,719,755,333",4.75%,USA,Analyze,68a7e911-e3a0-4a4a-8d24-19bf06d78fb4
854,SRCL,Stericycle Inc,Common stocks,Mid cap,Industrials,"$4,704,160,696",0.00%,USA,Analyze,204dffcf-1a94-46d0-9e3d-078a6932382f
855,AXS,Axis Capital Holdings Ltd,Common stocks,Mid cap,Financials,"$4,672,765,990",3.08%,USA,Analyze,580e8876-f512-4628-9523-9942a4a3870c
856,DV,"DoubleVerify Holdings, Inc.",Common stocks,Mid cap,Information Technology,"$4,616,502,436",0.00%,USA,Analyze,d91573df-b37e-4dc0-846c-212a4699314b
857,THC,Tenet Healthcare Corp,Common stocks,Mid cap,Health Care,"$4,582,260,623",0.00%,USA,Analyze,dd0c55f2-44b0-475e-8ae4-c504916dfd37
858,SEB,Seaboard Corp,Common stocks,Mid cap,Consumer Staples,"$4,563,033,857",0.23%,USA,Analyze,9019f2df-73b4-48f8-bed8-85807f7d2061
859,THO,Thor Industries Inc,Common stocks,Mid cap,Consumer Discretionary,"$4,550,656,709",2.04%,USA,Analyze,62a214fb-0819-484f-9c76-cede83b97ec7
860,WEN,Wendys,Common stocks,Mid cap,Consumer Discretionary,"$4,549,748,430",2.30%,USA,Analyze,938a3372-8fd2-49b9-bfbe-0d5f5a865676
861,UMPQ,Umpqua Holdings Corp,Common stocks,Mid cap,Financials,"$4,542,926,029",4.90%,USA,Analyze,e0297755-42d1-441c-9d82-e0b2a0789a10
862,H,Hyatt Hotels Corp Class A,Common stocks,Mid cap,Consumer Discretionary,"$4,529,679,457",0.00%,USA,Analyze,687b0489-acaf-4b63-baea-34a8ee338ea4
863,DLB,Dolby Laboratories Inc Class A,Common stocks,Mid cap,Information Technology,"$4,511,929,827",1.43%,USA,Analyze,09649b23-26e8-4eb3-b163-72d86d3ab305
864,NYCB,New York Community Bancorp,Common stocks,Mid cap,Financials,"$4,507,533,379",6.84%,USA,Analyze,5620bf7d-fe36-443f-a5bc-1caeda9b2854
865,ESI,Element Solutions Inc.,Common stocks,Mid cap,Materials,"$4,497,949,556",1.72%,USA,Analyze,fe07d686-7564-4b61-a178-0396cae6b8d0
866,INFA,Informatica Inc.,Common stocks,Mid cap,Information Technology,"$4,492,012,092",0.00%,USA,Analyze,b2d8b997-ded2-4ba6-9763-c3fa6a8a436c
867,R,Ryder System Inc,Common stocks,Mid cap,Industrials,"$4,431,141,293",2.65%,USA,Analyze,b4e0ff35-3040-40ea-a462-a1f0c0a50af6
868,PRGO,Perrigo Plc,Common stocks,Mid cap,Health Care,"$4,418,876,464",3.08%,USA,Analyze,15798127-b32a-435d-82c1-e30c33a0316a
869,XPO,XPO Logistics Inc,Common stocks,Mid cap,Industrials,"$4,399,209,601",0.00%,USA,Analyze,0a93c415-efb0-4705-a192-9c43e3c2fbfc
870,EEFT,Euronet Worldwide Inc,Common stocks,Mid cap,Information Technology,"$4,389,554,053",0.00%,USA,Analyze,c2648cad-be04-4963-bc0c-7e128d9c5615
871,SLM,Sallie Mae,Common stocks,Mid cap,Financials,"$4,375,942,557",2.49%,USA,Analyze,23ba1e98-1c98-4e43-a172-a6edfbb999d3
872,IART,Integra Lifesciences Holdings Corp,Common stocks,Mid cap,Health Care,"$4,362,153,653",0.00%,USA,Analyze,74329c02-a97e-4a07-a454-d2435109c760
873,IPGP,IPG Photonics Corp,Common stocks,Mid cap,Information Technology,"$4,359,447,987",0.00%,USA,Analyze,0adb1926-5ee8-4992-89d8-09b72f3d7a66
874,HE,Hawaiian Electric Industries Inc,Common stocks,Mid cap,Utilities,"$4,358,018,177",3.45%,USA,Analyze,4a4a7c6e-b240-4136-abf3-e7f1d4cd390a
875,EVR,Evercore Inc. Class A,Common stocks,Mid cap,Financials,"$4,326,133,854",2.49%,USA,Analyze,77cb2a36-58e3-49ac-aa21-30157fa756ba
876,FIVN,Five9 Incinary,Common stocks,Mid cap,Information Technology,"$4,317,750,329",0.00%,USA,Analyze,5ded081d-81b8-473a-ae17-ca63cbad88eb
877,BFAM,Bright Horizons Family Solutions,Common stocks,Mid cap,Consumer Discretionary,"$4,315,658,770",0.00%,USA,Analyze,3b3d39b0-232a-4ea9-b709-0c7fd0f0763c
878,LAZ,"Lazard, LTD.",Common stocks,Mid cap,Financials,"$4,296,388,067",4.99%,USA,Analyze,aaa2cc01-e481-4fe9-8a22-3a06fefe0ae6
879,CHPT,"ChargePoint Holdings, Inc.",Common stocks,Mid cap,Industrials,"$4,248,345,688",0.00%,USA,Analyze,150212ae-15c4-4564-9826-a6b2479f06f4
880,FLS,Flowserve Corp,Common stocks,Mid cap,Industrials,"$4,221,476,472",2.45%,USA,Analyze,42393d10-7567-49ef-8b1e-ca06a8b04492
881,MAN,Manpower Inc,Common stocks,Mid cap,Industrials,"$4,212,420,322",3.14%,USA,Analyze,c13d6f7e-a747-47e9-a95c-9c563051c8d2
882,GPS,Gap Inc,Common stocks,Mid cap,Consumer Discretionary,"$4,193,425,269",4.87%,USA,Analyze,4ee0bb0f-43f0-49e0-9dfb-f1b2010332ce
883,RITM,Rithm Capital Corp.,Common stocks,Mid cap,Financials,"$4,192,378,635",11.09%,USA,Analyze,91da75e3-1684-4ed8-b976-1be0121aa16d
884,JHG,Janus Henderson Group Plc,Common stocks,Mid cap,Financials,"$4,189,488,417",5.98%,USA,Analyze,f0614791-1859-403e-bfe9-4502005d1e94
885,LPX,Louisiana Pacific Corp,Common stocks,Mid cap,Materials,"$4,179,845,027",1.50%,USA,Analyze,c690cf87-002c-498f-8322-65c74a09d42b
886,MTG,MGIC Investment Corp,Common stocks,Mid cap,Financials,"$4,173,208,135",2.54%,USA,Analyze,569ea766-aa2e-4cca-933f-6bb340160d6f
887,KEX,Kirby Corp,Common stocks,Mid cap,Industrials,"$4,114,531,000",0.00%,USA,Analyze,696d6085-7238-4d4a-8134-ddb725357d7d
888,MRTX,Mirati Therapeutics Inc,Common stocks,Mid cap,Health Care,"$4,055,844,029",0.00%,USA,Analyze,448ae140-6709-4bb6-adc3-5bf7539f554a
889,AL,Air Lease Corp,Common stocks,Mid cap,Industrials,"$4,053,106,145",2.01%,USA,Analyze,e86383d9-747a-4614-8e57-906c1b13d256
890,MSM,MSC Industrial Inc Class A,Common stocks,Mid cap,Industrials,"$4,033,969,232",3.46%,USA,Analyze,c33dc831-2a06-4f46-8ccf-b781748bf447
891,CRUS,Cirrus Logic Inc,Common stocks,Mid cap,Information Technology,"$4,033,189,023",0.00%,USA,Analyze,93656d7d-82a3-440e-8895-ada17f12139c
892,COUP,Coupa Software Inc,Common stocks,Mid cap,Information Technology,"$3,998,487,860",0.00%,USA,Analyze,3371ea83-dbf2-4b61-aab6-bc932fb3e78d
893,NEWR,New Relic Inc,Common stocks,Mid cap,Information Technology,"$3,975,617,817",0.00%,USA,Analyze,45650848-0d8d-4704-8656-a99e83eb4a6a
894,LYFT,"Lyft, Inc. - Class A",Common stocks,Mid cap,Industrials,"$3,974,307,002",0.00%,USA,Analyze,2fd39520-01a7-4612-ab1f-ddbb9a861268
895,AVT,Avnet Inc,Common stocks,Mid cap,Information Technology,"$3,972,765,863",2.40%,USA,Analyze,2704d1b5-dfd3-46a1-b6e1-10981cdfbf18
896,IAC,IAC/InterActive,Common stocks,Mid cap,Communication Services,"$3,967,092,131",0.00%,USA,Analyze,9612676a-0ce1-4109-b472-b40847c4bc68
897,TFSL,TFS Financial Corp,Common stocks,Mid cap,Financials,"$3,950,604,993",7.80%,USA,Analyze,fe7cfacc-8419-4e0d-994d-47d6315904d6
898,ALSN,Allison Transmission Holdings Inc,Common stocks,Mid cap,Industrials,"$3,917,895,293",1.92%,USA,Analyze,bb4aef94-06aa-45aa-8f28-4c99c54aa0e6
899,SMAR,Smartsheet Inc. Class A,Common stocks,Mid cap,Information Technology,"$3,882,743,589",0.00%,USA,Analyze,d697fc39-883a-4402-ab92-4606d1b7b49f
900,LITE,Lumentum Holdings Inc,Common stocks,Mid cap,Information Technology,"$3,856,710,000",0.00%,USA,Analyze,cdddef8e-5aa9-4421-bcda-80f98df635f0
901,CUZ,Cousins Properties Incorporated,REITs,Mid cap,Real Estate,"$3,852,488,109",4.93%,USA,Analyze,79c4d015-fac5-4710-9683-169878e2e93c
902,CABO,Cable One Inc,Common stocks,Mid cap,Communication Services,"$3,790,932,453",1.70%,USA,Analyze,00ce50c3-84ac-45ee-b261-3d37da4663f7
